,title,location,price(L),rate_persqft,area_insqft,building_status,agent_rating
15768,Residential Plot,Maheshwaram,27.25,1277,2133,New,4.9
15769,Residential Plot,Mangalpally,38.85,1944,1998,New,4.9
15770,Residential Plot,Kadthal,13.5,1000,1350,New,4.9
15771,Residential Plot,Mangalpally,28.7,1944,1476,New,4.9
15772,Residential Plot,Adibatla,25.37,1944,1305,New,4.9
15773,Residential Plot,Mangalpally,31.5,1966,1602,New,4.9
15774,Residential Plot,Yadagirigutta,8.0,757,1056,New,4.9
15775,Residential Plot,Madinaguda,38.0,3598,1056,New,0.0
15776,Residential Plot,Ameenpur Village Patancheru,38.0,3598,1056,New,0.0
15777,Residential Plot,Mokila,46.0,4356,1056,New,0.0
15778,Residential Plot,BB Nagar,46.0,4356,1056,New,0.0
15779,2 BHK Apartment,Nizampet KTR Colony,30.0,3000,1000,Ready to move,5.0
15780,3 BHK Apartment,Dindigal,80.56,5214,1545,Ready to move,4.4
15781,2 BHK Apartment,Kukatpally,55.24,4599,1201,Under Construction,0.0
15782,Residential Plot,Hyderabad Vijayawada Highway,11.17,766,1458,New,4.2
15783,Residential Plot,Mucherla,14.11,916,1539,New,4.2
15784,Residential Plot,Kothur,27.5,11000,250,New,4.9
15785,Residential Plot,Adibatla,33.0,1833,1800,New,4.9
15786,Residential Plot,Adibatla,30.19,1833,1647,New,4.9
15787,Residential Plot,Adibatla,27.22,1833,1485,New,4.9
15788,Residential Plot,Tukkuguda,27.22,1833,1485,New,4.9
15789,Residential Plot,Kothur,20.13,1222,1647,New,4.9
15790,Residential Plot,Bhanur village,44.0,2444,1800,New,4.9
15791,3 BHK Apartment,Manikonda,50.0,4500,1111,Ready to move,0.0
15792,2 BHK Independent House,Industrial Development Area,130.0,9027,1440,Ready to move,0.0
15793,5 BHK Apartment,Basheer Bagh,225.0,7031,3200,Ready to move,5.0
